Date;Alloc_PL_B_TOTAL_NORD_S;Alloc_PLC_H_TOTAL_NORD_S;Alloc_PITD_H_TOTAL_NORD_S;Alloc_PITD_H_TOTAL_SUD_S;Alloc_PL_H_TOTAL_SUD_S;Alloc_PL_H_TOTAL_TIGFSUD_S;Alloc_PITTM_H_TOTAL_NORD_E;Alloc_PITTM_H_TOTAL_SUD_E;COE_PIR_H_IR0010_NORD_E;COE_PIR_H_IR0011_NORD_E;COE_PIR_H_IR0013_14_59_NORD_E;COE_PIR_H_IR0006_NORD_E;COE_PIR_H_IR0006_NORD_S;Alloc_PIR_H_IR0006_NORD_ES;Alloc_PIR_H_IR0011_NORD_ES;Alloc_PIR_H_IR0010_NORD_ES;Alloc_PIR_H_IR0013_14_59_NORD_ES;COE_PITS_H_PS000NB_NORD_E;COE_PITS_H_PS000NB_NORD_S;COE_PITS_H_PS000NC_NORD_E;COE_PITS_H_PS000NC_NORD_S;COE_PITS_H_PS000NA_NORD_S;COE_PITS_H_PS000NA_NORD_E;COE_PITS_H_PS000SC_SUD_E;COE_PITS_H_PS000SC_SUD_S;COE_PITS_H_PS000SA_SUD_S;COE_PITS_H_PS000SA_SUD_E;COESE_PITS_H_PS000NB_NORD_E;COESE_PITS_H_PS000NB_NORD_S;COESE_PITS_H_PS000NC_NORD_E;COESE_PITS_H_PS000NC_NORD_S;COESE_PITS_H_PS000NA_NORD_S;COESE_PITS_H_PS000NA_NORD_E;COESE_PITS_H_PS000SC_SUD_E;COESE_PITS_H_PS000SC_SUD_S;COESE_PITS_H_PS000SA_SUD_S;COESE_PITS_H_PS000SA_SUD_E;NIVEAU_PITS_H_TOTAL_NORD;NIVEAU_PITS_H_PS000NB_NORD;NIVEAU_PITS_H_TOTAL_TIGFSUD;NIVEAU_PITS_H_PS000SC_SUD;NIVEAU_PITS_H_TOTAL_SUD;Alloc_PITS_H_TOTAL_NORD_ES;Alloc_PITS_H_TOTAL_TRSSUD_ES;Alloc_PITS_H_PS000NA_NORD_ES;Alloc_PITS_H_PS000NC_NORD_ES;COE_PIP_H_TOTAL_NORD_S;tmin_sud;tmin_nord;tmax_sud;tmax_nord
08/03/2016;908227606;368497520;1026349533;468988763;651494761;147277664;-314066328;223552963;678236584;0;668262517;624376621;0;580539342;-75989879;288644033;453690706;303810094;-270596449;478755236;-354079393;-284360662;430979453;151000000;-329144225;-150109715;835228406;193912443;-135210394;217723367;-165707509;-102264580;73892168;169484390;-209403572;-30276869;551290712;12853000000;2559000000;8639000000;5472000000;14670000000;294939979;340010446;76191526;23754261;-370000000;12,1;8,7;20,4;17,0
09/03/2016;894066923;334284227;1027613503;455486735;628203370;148810464;-361355825;217276930;678236584;0;668262517;624376621;0;580290424;-36607879;251383989;450129388;303810094;-270596449;478755236;-354079393;-284360662;430979453;191000000;-329144225;-150109715;835228406;193912443;-135210394;217723367;-165707509;-102264580;73892168;169484390;-209403572;-30276869;551290712;12466000000;2474000000;8488000000;5365000000;14535000000;257794763;257573342;65418807;28579915;-370000000;11,2;9,2;21,6;22,1
10/03/2016;842031929;370415789;950363400;405220713;583149703;141605520;-356356818;121402154;678236584;0;668262517;624376621;0;578490424;-70199879;242810681;494569450;303810094;-270596449;478755236;-354079393;-284360662;430979453;132000000;-329144225;-150109715;835228406;193912443;-135210394;217723367;-165707509;-102264580;73892168;169484390;-209403572;-30276869;551290712;12108000000;2387000000;8317000000;5255000000;14336000000;312483762;281299217;74431533;88899168;-361000000;14,0;12,1;22,4;18,8
11/03/2016;790356915;325615900;896628681;384039592;559554697;134867376;-361818247;97131956;678236584;0;668262517;624376621;0;582490424;-14289879;293962026;404888990;303810094;-270596449;478755236;-354079393;-284360662;430979453;117000000;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;242600000;-215063053;-22000000;542336862;11865000000;2337000000;8161000000;5155000000;14155000000;231692719;256138277;49220628;80307873;-370000000;14,7;10,6;23,7;23,0
12/03/2016;724802292;242325973;821334402;340474462;449052243;121915680;-361847146;102864079;678236584;0;668262517;624376621;0;583480424;-10569879;200044705;409976232;303810094;-270596449;478755236;-354079393;-284360662;430979453;162000000;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;11678000000;2293000000;8073000000;5062000000;14052000000;143824924;180258124;44470983;10301596;-380000000;14,8;11,9;24,1;23,5
13/03/2016;743670683;248107141;845921285;345075890;450719839;119037912;-358602170;114852783;678236584;0;668262517;624376621;0;582490424;-10569879;216159136;379533053;303810094;-270596449;478755236;-354079393;-284360662;430979453;161000000;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;11494000000;2249000000;7986000000;4988000000;13968000000;142353899;161326601;44225373;10455272;-378000000;16,7;10,4;25,8;18,3
14/03/2016;838829644;323293795;954809393;353986768;528844198;124186656;-364684430;165610413;678236584;0;668262517;624376621;0;586495756;-10569879;213579344;435584543;303810094;-270596449;478755236;-354079393;-284360662;430979453;146000000;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;11191000000;2187000000;7883000000;4884000000;13845000000;224843650;207316845;62000952;18696335;-380000000;17,5;8,3;24,2;20,7
15/03/2016;174863825;360682746;745151533;321868523;487542809;116601656;30331777;165610413;678236584;0;668262517;624376621;0;NA;NA;NA;NA;303810094;-270596449;478755236;-354079393;-284360662;430979453;159000000;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;NA;NA;NA;NA;NA;NA;NA;NA;NA;-380000000;16,4;11,5;24,6;24,3
16/03/2016;193531216;319503480;786209293;389224477;571788217;131282584;30979892;165610413;678236584;0;668262517;624376621;0;NA;NA;NA;NA;303810094;-270596449;478755236;-354079393;-284360662;430979453;151094884;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;NA;NA;NA;NA;NA;NA;NA;NA;NA;-407541701;15,8;13,3;25,7;22,4
17/03/2016;185968323;334562282;749431632;364574978;534106893;144370784;39132496;165610413;678236584;0;668262517;624376621;0;NA;NA;NA;NA;303810094;-270596449;478755236;-354079393;-284360662;430979453;157037151;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;NA;NA;NA;NA;NA;NA;NA;NA;NA;-434161536;17,4;10,8;26,0;20,4
18/03/2016;185561935;319142133;740479226;339867788;477323573;130068376;39132496;208181329;678236584;0;668262517;624376621;0;NA;NA;NA;NA;303810094;-270596449;478755236;-354079393;-284360662;430979453;183987571;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;NA;NA;NA;NA;NA;NA;NA;NA;NA;-460386324;16,2;11,5;26,4;23,5
19/03/2016;178947037;275748201;744363650;294590645;407040236;109009464;39132496;208181329;678236584;0;668262517;624376621;0;NA;NA;NA;NA;303810094;-270596449;478755236;-354079393;-284360662;430979453;207318938;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;NA;NA;NA;NA;NA;NA;NA;NA;NA;-431973312;17,1;13,6;25,1;26,0
20/03/2016;177893368;273333172;736622003;291136660;402243449;99321888;39132496;150635548;678236584;0;668262517;624376621;0;NA;NA;NA;NA;303810094;-270596449;478755236;-354079393;-284360662;430979453;187449255;-329144225;-150109715;835228406;177841703;-135894376;198441637;-173276870;-102716118;67794629;161460876;-215063053;-32598689;542336862;NA;NA;NA;NA;NA;NA;NA;NA;NA;-448669008;16,9;15,3;25,2;28,0
